Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,
382,70.33,0.46,0.8,41.15,18.66,-1120.7,-0.35,11
387,81.04,0.56,0.8,95.14,22.94,-1078.34,-0.11,5
397,67.88,0.47,0.8,49.86,27.93,-1093.58,-0.03,10
403,73.53,0.54,0.8,32.07,16.99,-1105.59,-0.34,6
404,69.98,0.54,0.8,43.03,23.1,-1140.73,-0.01,1
407,71.32,0.67,0.8,40.22,27.19,-1212.83,-0.03,3
408,66.6,0.45,0.8,52.51,24.25,-1208.34,-0.01,1
411,68.52,0.38,0.8,45.36,15.24,-1206.71,-0.11,3
412,70.71,0.38,0.8,38.36,10.52,-1190.05,-0.11,1
418,72.39,0.42,0.8,89.27,29.34,-1079.92,-0.07,6
,,,,,,,Average,4.19
,,,,,,,Min,1
,,,,,,,Max,19
