Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
104,59.15,0.41,0.8,56.06,23.75,49.85,11.52
105,55.8,0.49,0.8,61.9,20.29,46.82,11.52
106,56.78,0.49,0.8,52.07,19.34,47.72,11.52
107,63.87,0.5,0.8,64.41,20.99,55.19,10.52
108,55.37,0.36,0.8,61.45,17.0,46.49,11.52
109,59.66,0.55,0.8,56.3,19.27,50.29,11.52
110,64.81,0.38,0.8,65.81,13.78,57.28,9.75
111,60.78,0.46,0.8,47.06,23.15,51.3,11.52
112,71.48,0.5,0.8,47.19,16.57,-1108.82,-0.11
113,63.04,0.5,0.8,55.56,15.36,53.28,11.52
114,62.15,0.64,0.8,52.08,24.34,52.49,11.52
115,59.4,0.47,0.8,58.54,17.92,50.07,11.52
116,59.53,0.52,0.8,45.73,19.77,50.14,11.52
117,57.16,0.4,0.8,68.73,19.4,48.04,11.52
118,53.82,0.51,0.8,68.37,25.69,45.08,11.52
119,61.88,0.56,0.8,39.27,22.26,52.25,11.52
120,61.1,0.57,0.8,47.49,21.52,51.54,11.52
121,59.75,0.58,0.8,56.48,22.88,50.34,11.52
122,62.15,0.44,0.8,56.52,22.19,53.0,11.21
123,58.42,0.46,0.8,67.13,25.66,49.19,11.52
124,63.13,0.46,0.8,55.89,24.46,55.51,6.79
125,65.2,0.59,0.8,39.19,21.77,55.18,11.52
126,57.82,0.5,0.8,51.06,20.98,48.66,11.52
127,64.54,0.52,0.8,58.9,23.42,56.89,8.09
128,56.32,0.36,0.8,56.34,26.53,47.32,11.52
129,64.18,0.53,0.8,40.87,20.68,54.33,11.52
130,63.64,0.56,0.8,52.47,23.51,53.82,11.52
131,55.02,0.38,0.8,58.63,19.88,46.17,11.52
132,65.64,0.46,0.8,56.49,17.33,57.92,8.74
133,59.34,0.5,0.8,42.8,20.02,49.98,11.52
134,56.69,0.42,0.8,55.86,22.61,47.66,11.52
135,60.17,0.41,0.8,45.51,20.76,50.75,11.52
136,73.06,0.61,0.8,21.1,23.86,-1093.58,-0.18
137,58.81,0.52,0.8,47.13,19.19,49.51,11.52
138,67.61,0.31,0.8,53.65,11.61,-90.44,2.95
139,52.06,0.46,0.8,60.13,21.34,43.55,11.52
140,60.48,0.5,0.8,59.63,22.36,51.0,11.52
141,58.86,0.39,0.8,49.92,21.88,49.55,11.52
142,67.75,0.49,0.8,43.16,17.55,-232.84,1.94
143,66.0,0.45,0.8,50.02,15.42,58.08,9.37
144,55.89,0.48,0.8,71.18,26.81,46.93,11.52
145,65.05,0.47,0.8,52.85,20.95,57.51,6.35
146,56.38,0.43,0.8,47.18,19.88,47.36,11.52
147,54.42,0.41,0.8,57.22,22.65,45.65,11.52
148,62.14,0.42,0.8,57.47,21.98,52.76,11.34
149,55.39,0.45,0.8,59.31,19.27,46.48,11.52
150,52.84,0.44,0.8,53.75,19.49,44.24,11.52
151,51.78,0.41,0.8,63.1,22.38,43.31,11.52
152,60.18,0.59,0.8,50.95,26.03,50.74,11.52
153,59.54,0.43,0.8,55.68,17.89,50.15,11.52
154,58.31,0.41,0.8,57.06,22.66,49.08,11.52
155,62.52,0.58,0.8,60.18,25.09,52.83,11.52
156,67.63,0.4,0.8,54.04,17.95,-528.37,0.85
