Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,test
6182,40.95,0.53,0.8,63.07,16.07,-1139.74,-0.13,1.0
6183,38.13,0.42,0.8,59.99,12.41,-1196.26,-0.2,1.0
6186,36.7,0.61,0.8,40.53,16.49,-1213.18,-0.04,1.0
6188,42.65,0.84,0.8,58.73,19.23,-1107.09,0.0,1.0
6190,47.22,0.7,0.8,77.87,14.18,-1124.36,-0.64,1.0
6191,57.44,0.63,0.8,55.39,3.93,-1117.0,-0.64,1.0
6195,41.78,0.69,0.8,45.97,19.66,-1121.88,-0.21,1.0
6198,39.01,0.78,0.8,43.68,13.05,-1167.41,-0.03,1.0
6199,44.16,0.62,0.8,50.78,10.09,-1119.3,-0.23,1.0
6200,38.81,0.43,0.8,55.65,12.87,-1152.66,-0.3,1.0
6201,39.9,0.57,0.8,58.4,8.23,-1148.36,-0.28,1.0
6202,43.24,0.56,0.8,54.4,9.17,-1131.25,-0.46,1.0
6203,38.09,0.64,0.8,66.19,16.47,-1144.48,-0.2,1.0
6204,41.53,0.65,0.8,52.54,9.67,-1120.72,-0.14,1.0
6208,43.94,0.61,0.8,60.43,10.81,-1105.26,-0.16,1.0
6209,46.06,0.48,0.8,39.0,20.92,-1099.71,-0.13,1.0
6212,39.07,0.57,0.8,44.77,11.52,-1173.32,-0.27,1.0
6214,39.89,0.54,0.8,59.01,15.04,-1176.19,-0.04,1.0
6216,42.88,0.45,0.8,50.95,9.79,-1106.99,-0.18,1.0
6217,41.17,0.63,0.8,57.98,11.56,-1139.47,-0.29,1.0
6218,38.72,0.4,0.8,68.25,15.25,-1131.79,-0.05,1.0
6222,47.98,0.63,0.8,48.22,20.38,-1113.17,-0.45,1.0
6223,43.05,0.57,0.8,45.51,14.43,-1120.98,-0.35,1.0
6224,55.37,0.78,0.8,38.72,15.92,-1114.91,-0.58,1.0
6231,46.93,0.62,0.8,64.9,4.85,-1106.15,-0.29,1.0
6233,50.33,0.56,0.8,70.86,20.93,-1115.91,-0.55,1.0
6234,35.8,0.34,0.8,48.97,18.48,-1252.75,-0.15,1.0
6235,39.6,0.48,0.8,56.37,21.58,-1126.18,-0.26,1.0
6236,38.59,0.58,0.8,41.58,15.92,-1184.46,-0.18,1.0
6240,47.3,0.49,0.8,56.65,15.2,-1104.42,-0.27,1.0
6242,46.45,0.59,0.8,61.68,19.2,-1117.98,-0.52,1.0
6243,43.34,0.55,0.8,33.38,18.93,-1107.5,-0.17,1.0
6244,42.8,0.53,0.8,72.12,14.28,-1123.48,-0.4,1.0
6245,41.54,0.71,0.8,48.03,11.56,-1139.26,-0.32,1.0
6249,41.27,0.62,0.8,29.58,21.17,-1119.35,-0.14,1.0
6257,44.36,0.45,0.8,42.67,8.02,-1103.57,-0.12,1.0
6258,40.53,0.69,0.8,43.34,22.22,-1163.74,-0.23,1.0
6259,36.43,0.61,0.8,57.99,13.79,-1416.16,-0.02,1.0
6260,37.44,0.61,0.8,17.85,9.66,-1544.25,-0.02,1.0
6263,41.0,0.53,0.8,68.16,15.94,-1113.54,-0.03,1.0
6267,46.43,0.6,0.8,19.2,22.0,-1122.46,-0.62,1.0
6269,43.44,0.63,0.8,44.94,16.92,-1111.36,-0.27,1.0
6270,39.57,0.48,0.8,73.21,12.23,-1123.56,-0.05,1.0
6272,38.33,0.59,0.8,51.42,19.33,-1129.65,-0.01,1.0
6274,44.32,0.61,0.8,57.93,24.55,-1122.69,-0.52,1.0
6277,37.36,0.63,0.8,59.56,18.27,-1318.69,-0.11,1.0
6278,42.52,0.55,0.8,52.24,11.83,-1106.15,-0.08,1.0
6280,38.54,0.6,0.8,45.29,10.78,-1207.03,-0.03,1.0
6281,42.52,0.65,0.8,53.5,17.14,-1113.24,-0.2,1.0
6283,47.37,0.79,0.8,43.2,18.53,-1103.05,-0.23,1.0
6285,41.61,0.54,0.8,74.21,17.47,-1130.13,-0.48,1.0
6286,40.62,0.7,0.8,42.59,12.18,-1145.4,-0.23,1.0
6287,47.37,0.47,0.8,56.69,13.95,-1115.17,-0.49,1.0
6289,43.61,0.61,0.8,44.72,10.29,-1107.18,-0.14,1.0
6291,38.62,0.56,0.8,46.06,16.89,-1163.95,-0.2,1.0
6292,39.76,0.51,0.8,71.93,11.49,-1146.11,-0.37,1.0
6293,37.6,0.5,0.8,51.84,7.74,-1133.98,-0.03,1.0
6298,38.48,0.65,0.8,56.54,11.09,-1244.03,-0.02,1.0
7099,51.03,0.54,0.8,28.3,17.62,-1356.41,-0.06,1.0
7132,54.41,0.72,0.8,48.92,13.53,-1157.18,0.0,1.0
7276,57.43,0.57,0.8,49.66,23.35,-1084.55,0.0,1.0
7347,56.73,0.57,0.8,57.22,21.29,-1149.09,-0.26,1.0
7390,54.66,0.59,0.8,42.49,17.66,-1105.37,-0.02,1.0
7392,54.64,0.43,0.8,42.59,21.02,-1108.2,-0.13,1.0
7614,41.93,0.83,0.8,61.89,19.55,-1391.82,-0.03,1.0
8241,59.35,0.64,0.8,38.61,16.16,-1917.53,0.0,1.0
8268,31.99,0.71,0.8,50.78,18.05,-1275.54,-0.15,1.0
8270,31.47,0.45,0.8,46.47,13.55,-1173.11,-0.19,1.0
8271,29.36,0.54,0.8,50.7,15.9,-1161.01,-0.03,1.0
8272,42.81,0.61,0.8,45.5,10.11,-1193.53,-0.23,1.0
8273,36.49,0.48,0.8,44.54,14.86,-1213.55,-0.16,1.0
8274,25.8,0.62,0.8,58.0,12.21,-1607.97,-0.01,1.0
8275,42.43,0.38,0.8,62.81,4.57,-1282.01,-0.07,1.0
8277,48.53,0.78,0.8,49.81,18.94,-1431.09,-0.08,1.0
8548,46.49,0.59,0.8,37.57,22.25,-1150.53,-0.01,1.0
8691,34.91,0.61,0.8,45.69,11.32,-1806.62,-0.01,1.0
9711,35.08,0.5,0.8,25.17,17.15,-1301.5,-0.02,1.0
9713,34.42,0.51,0.8,54.28,17.32,-1240.9,-0.05,1.0
9714,34.78,0.76,0.8,43.73,13.51,-1207.22,-0.02,1.0
9716,38.0,0.51,0.8,44.74,12.83,-1294.04,-0.04,1.0
9754,33.0,0.54,0.8,36.42,9.35,-1217.15,-0.03,1.0
9755,54.14,0.68,0.8,63.29,21.25,-1184.77,-0.08,1.0
9756,46.96,0.67,0.8,60.09,21.66,-1206.28,-0.08,1.0
9757,25.07,0.66,0.8,41.98,9.65,-1206.73,-0.17,1.0
9758,41.11,0.73,0.8,39.1,9.11,-1201.92,-0.1,1.0
9759,31.9,0.77,0.8,41.95,14.38,-1227.15,-0.06,1.0
9760,40.2,0.44,0.8,42.2,15.96,-1333.27,-0.05,1.0
9761,32.16,0.77,0.8,69.03,13.47,-1320.7,-0.01,1.0
9762,30.91,0.49,0.8,45.59,18.92,-1254.91,-0.08,1.0
9763,51.33,0.72,0.8,57.34,8.1,-1190.19,-0.13,1.0
9764,44.63,0.68,0.8,60.07,13.37,-1197.55,-0.06,1.0
11452,71.58,0.36,0.8,35.73,9.17,-1121.91,-0.09,1.0
12204,69.47,0.47,0.8,89.97,26.98,-1114.18,-0.07,1.0
13555,65.31,0.36,0.8,53.87,14.45,-1209.5,-0.13,1.0
14173,65.85,0.36,0.8,54.04,21.64,-1198.16,-0.08900000000000001,1.0
14237,70.5,0.58,0.8,41.78,23.92,-1104.93,-0.04,1.0
