Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,63.28,0.43,0.8,57.48,17.32,53.48,11.52
1,61.3,0.46,0.8,57.16,17.67,51.77,11.52
2,67.39,0.61,0.8,50.71,22.93,59.31,8.22
3,51.58,0.51,0.8,59.96,23.17,43.09,11.52
4,56.51,0.49,0.8,68.6,21.93,47.51,11.52
5,65.03,0.58,0.8,60.01,23.15,55.58,11.17
6,59.14,0.54,0.8,53.3,23.42,49.83,11.52
7,58.61,0.5,0.8,43.27,17.87,49.32,11.52
8,64.79,0.53,0.8,51.59,19.44,55.15,11.33
9,54.62,0.38,0.8,57.96,21.56,45.79,11.52
10,59.71,0.49,0.8,52.39,19.53,50.3,11.52
11,56.75,0.39,0.8,59.44,19.08,47.68,11.52
12,58.53,0.41,0.8,48.06,16.59,49.27,11.52
13,70.08,0.42,0.8,41.62,15.37,-1140.0,-0.18
14,57.87,0.49,0.8,52.84,21.79,48.68,11.52
15,51.36,0.41,0.8,63.76,20.73,42.92,11.52
16,56.37,0.49,0.8,44.21,20.61,47.34,11.52
17,56.45,0.59,0.8,49.77,21.35,47.42,11.52
18,56.71,0.51,0.8,50.41,19.42,47.67,11.52
19,60.44,0.41,0.8,62.49,20.31,50.97,11.52
20,62.02,0.53,0.8,46.9,20.41,52.4,11.52
21,57.04,0.53,0.8,70.65,26.4,47.95,11.52
22,51.47,0.38,0.8,66.99,20.99,42.97,11.52
23,62.33,0.49,0.8,54.93,18.5,52.68,11.52
24,60.0,0.39,0.8,54.75,19.23,50.57,11.52
25,56.61,0.44,0.8,52.64,23.14,47.56,11.52
26,73.66,0.53,0.8,61.78,15.46,-1107.24,-0.36
27,55.79,0.46,0.8,59.2,21.46,46.87,11.52
28,59.57,0.57,0.8,41.75,23.7,50.2,11.52
29,76.95,0.59,0.8,53.16,18.15,-1096.76,-0.52
30,61.73,0.46,0.8,63.35,17.96,52.13,11.52
31,62.59,0.52,0.8,42.91,20.79,52.87,11.52
32,65.52,0.48,0.8,42.68,19.89,57.89,6.06
33,55.15,0.3,0.8,61.91,20.87,46.26,11.52
34,58.8,0.59,0.8,53.24,23.28,49.5,11.52
35,61.4,0.37,0.8,61.19,25.85,-146.52,2.5
36,55.36,0.43,0.8,56.99,22.15,46.46,11.52
37,66.08,0.44,0.8,60.25,17.65,58.48,6.06
38,67.01,0.5,0.8,39.32,14.93,59.21,8.31
39,55.41,0.51,0.8,59.48,24.96,46.53,11.52
40,55.83,0.49,0.8,63.84,24.29,46.86,11.52
41,58.76,0.52,0.8,41.93,24.69,49.45,11.52
42,53.01,0.47,0.8,61.92,23.03,44.36,11.52
43,57.78,0.39,0.8,73.85,18.77,48.64,11.52
44,57.59,0.53,0.8,52.07,21.24,48.46,11.52
45,62.38,0.5,0.8,60.07,17.41,52.72,11.52
46,63.59,0.34,0.8,57.17,16.97,56.04,6.89
47,56.68,0.49,0.8,59.26,23.53,47.65,11.52
48,58.85,0.49,0.8,44.87,19.28,49.58,11.52
49,57.09,0.44,0.8,53.72,17.67,48.03,11.52
