Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
102,32.61,0.51,0.8,41.07,15.62,-189.32,70.6
103,21.92,0.46,0.8,57.01,14.1,-372.71,86.78
104,30.29,0.68,0.8,38.17,19.65,-271.3,76.1
105,39.99,0.64,0.8,57.7,27.52,-103.56,48.92
106,49.07,0.57,0.8,42.9,17.17,7.92,30.96
107,34.65,0.59,0.8,58.02,17.59,-154.67,62.94
108,29.37,0.34,0.8,56.7,17.57,-295.4,77.59
109,58.41,0.65,0.8,48.42,17.12,-1160.53,-0.2
110,37.82,0.49,0.8,71.64,18.83,-72.49,50.61
111,20.29,0.69,0.8,41.36,12.77,-410.64,88.82
112,33.67,0.54,0.8,57.34,13.39,-224.29,73.15
113,36.81,0.75,0.8,49.53,19.54,-144.02,62.24
114,12.25,0.8,0.8,27.79,16.97,-439.19,94.93
115,38.21,0.55,0.8,25.69,16.67,-165.28,59.09
116,22.53,0.58,0.8,29.82,15.96,-373.99,86.88
117,27.16,0.8,0.8,48.25,5.02,-283.88,76.72
118,48.98,0.5,0.8,51.17,9.86,-3.69,32.84
119,30.22,0.71,0.8,68.33,17.64,-264.92,75.69
120,45.44,0.56,0.8,42.56,4.93,-21.84,40.25
121,27.41,0.77,0.8,48.12,15,-272.55,81.07
122,54.75,0.73,0.8,35.27,21.13,18.57,19.95
123,25.03,0.56,0.8,42.58,10.79,-297.4,82.48
124,42.15,0.68,0.8,40.86,20.07,-131.09,56.53
125,29.91,0.72,0.8,36.49,17.62,-320.44,79.2
126,42.29,0.53,0.8,51.31,17.23,-32.1,41.24
127,39.02,0.64,0.8,53.11,20.27,-172.71,59.77
128,46.4,0.27,0.8,38.86,9.8,-25.52,35.76
129,36.02,0.56,0.8,64.22,17.01,-175.56,64.71
130,35.42,0.58,0.8,48.69,20.61,-221,68.04
131,21.03,0.53,0.8,55.21,9.8,-388.07,87.61
132,21.17,0.66,0.8,60.22,13.36,-389.69,87.71
133,16.03,0.62,0.8,34.68,16.17,-429.11,94.58
134,41.99,0.65,0.8,42,12.64,-78.4,51.59
135,28.48,0.48,0.8,61.59,16.33,-276.95,81.41
136,32.78,0.64,0.8,62.13,17.08,-216.64,67.56
137,45.31,0.7,0.8,44.84,28.27,-36,42.06
