Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,
419,69.97,0.48,0.8,83.22,24.23,-1113.08,-0.23,7
420,82.08,0.61,0.8,49.99,14.42,-1089.02,-0.37,1
431,78.88,0.44,0.8,42.13,23.91,-1107.14,-0.73,11
434,71.66,0.43,0.8,39.03,23.6,-1091.61,-0.31,3
435,79.14,0.36,0.8,51.44,21.39,-1093.24,-0.22,1
438,74.38,0.45,0.8,53.35,14.02,-1078.45,-0.08,3
457,69.56,0.47,0.8,88.69,26.46,-1146.31,-0.28,19
458,67.2,0.4,0.8,38.94,21.53,-1146.04,-0.1,1
465,66.78,0.45,0.8,41.45,21.7,-1180.26,-0.01,7
474,71.1,0.51,0.8,67.75,17.94,-1135.26,-0.3,9
,,,,,,,Avg,4.75
,,,,,,,Min,1
,,,,,,,Max,27
