Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
103,67.46,0.62,0.8,54.8,22.28,59.7,7.87
104,66.89,0.49,0.8,60.14,17.34,59.34,5.38
105,71.26,0.51,0.8,65.02,22.83,-1109.3,-0.35
106,30.31,0.96,0.8,72.12,16.52,24.2,11.52
107,56.0,0.5,0.8,54.55,23.38,47.05,11.52
108,47.23,0.45,0.8,50.39,6.81,39.22,11.52
109,64.8,0.41,0.8,50.07,17.38,57.04,6.24
110,70.81,0.49,0.8,59.3,21.86,-1094.25,-0.2
111,66.16,0.31,0.8,43.32,14.76,-318.92,1.53
112,57.54,0.48,0.8,62.59,20.44,48.37,11.52
113,68.96,0.46,0.8,95.02,27.82,-390.46,1.25
114,58.38,0.51,0.8,47.71,23.0,49.14,11.52
115,77.91,0.27,0.8,27.78,11.49,-1081.46,-0.13
116,70.97,0.5,0.8,64.81,22.79,-1096.04,-0.21
117,69.99,0.45,0.8,57.3,21.5,-1102.68,-0.12
118,74.19,0.35,0.8,34.41,21.14,-1104.56,-0.64
119,44.73,0.62,0.8,62.92,21.75,37.04,11.52
120,56.52,0.44,0.8,62.21,19.53,47.47,11.52
121,45.36,0.51,0.8,43.53,19.92,37.58,11.52
122,53.95,0.36,0.8,52.71,20.23,45.21,11.52
123,50.04,0.4,0.8,50.56,14.18,41.76,11.52
124,60.1,0.43,0.8,41.56,21.95,50.7,11.52
125,69.82,0.45,0.8,61.48,22.2,-1105.7,-0.23
126,68.56,0.45,0.8,99.77,28.61,-348.36,1.41
127,60.62,0.51,0.8,48.63,19.31,51.16,11.52
128,70.9,0.48,0.8,55.36,21.19,-1106.39,-0.26
129,47.62,0.4,0.8,59.22,10.7,39.56,11.52
130,58.21,0.51,0.8,53.24,24.35,49.0,11.52
131,36.18,0.38,0.8,48.08,13.47,29.41,11.52
132,58.88,0.44,0.8,59.93,21.69,49.57,11.52
133,44.34,0.69,0.8,65.09,18.67,36.68,11.52
134,63.08,0.57,0.8,48.41,19.83,53.35,11.52
135,70.69,0.5,0.8,74.53,24.41,-1098.26,-0.27
136,71.79,0.51,0.8,52.65,20.76,-1097.39,-0.25
137,70.08,0.6,0.8,45.77,30.08,-1123.46,-0.06
138,71.56,0.5,0.8,44.67,19.41,-1120.08,-0.35
139,58.88,0.61,0.8,50.24,15.68,49.59,11.52
140,61.9,0.53,0.8,51.4,19.01,52.29,11.52
141,57.77,0.55,0.8,57.33,17.13,48.6,11.52
142,64.52,0.34,0.8,49.79,21.24,-807.2,0.26
143,59.89,0.5,0.8,58.4,15.07,50.49,11.52
144,57.37,0.48,0.8,48.63,17.41,48.23,11.52
145,69.77,0.47,0.8,76.41,24.71,-1110.94,-0.39
146,37.11,0.53,0.8,45.12,15.48,30.23,11.52
147,62.46,0.54,0.8,73.15,24.95,52.76,11.52
148,57.7,0.53,0.8,42.2,15.9,48.55,11.52
149,58.53,0.54,0.8,51.81,20.71,49.28,11.52
150,46.79,0.61,0.8,62.6,4.04,38.84,11.52
151,57.29,0.57,0.8,63.2,24.09,48.17,11.52
152,84.14,0.2,0.8,51.91,18.05,-1108.92,-0.3
153,39.33,0.55,0.8,68.7,11.88,32.21,11.52
154,57.39,0.56,0.8,50.53,21.96,48.29,11.52
155,76.94,0.49,0.8,46.46,6.55,-1079.19,-0.09
156,71.75,0.58,0.8,56.53,11.26,-498.12,0.94
157,62.69,0.46,0.8,51.39,25.24,55.42,8.73
158,58.39,0.49,0.8,40.82,24.15,49.12,11.52
159,63.65,0.44,0.8,46.67,18.63,56.48,8.08
160,68.82,0.5,0.8,57.19,13.69,60.87,7.31
161,59.17,0.56,0.8,51.77,25.6,49.85,11.52
162,34.95,0.58,0.8,47.19,19.4,28.34,11.52
163,57.57,0.49,0.8,51.83,19.46,48.43,11.52
164,70.19,0.49,0.8,83.98,25.99,-1111.34,-0.27
165,35.2,0.71,0.8,47.87,5.69,28.55,11.52
166,59.3,0.5,0.8,53.5,19.92,49.99,11.52
167,38.45,0.73,0.8,62.93,15.26,31.42,11.52
168,58.88,0.57,0.8,59.38,24.04,49.62,11.52
169,74.01,0.51,0.8,48.82,20.34,-1081.59,-0.09
170,36.73,0.7,0.8,51.15,12.75,29.88,11.52
171,55.89,0.48,0.8,51.27,22.95,46.96,11.52
172,48.88,0.59,0.8,50.76,12.62,40.71,11.52
173,58.05,0.58,0.8,64.26,25.36,48.82,11.52
174,63.58,0.42,0.8,51.28,26.17,-100.68,2.9
175,52.47,0.4,0.8,63.14,20.44,43.9,11.52
176,53.23,0.45,0.8,51.3,24.19,44.6,11.52
177,58.91,0.53,0.8,51.4,22.71,49.61,11.52
178,69.6,0.44,0.8,60.29,12.45,-213.65,1.99
179,63.03,0.46,0.8,46.32,21.26,54.67,10.7
180,70.99,0.49,0.8,60.8,22.11,-1099.64,-0.29
181,57.85,0.51,0.8,54.65,11.61,48.64,11.52
182,55.32,0.37,0.8,49.82,22.14,46.43,11.52
183,48.81,0.51,0.8,43.8,19.91,40.62,11.52
184,56.98,0.5,0.8,57.03,28.95,47.88,11.52
185,69.46,0.3,0.8,46.16,15.26,-1127.93,-0.29
186,33.43,0.62,0.8,51.65,22.58,26.95,11.52
