dist_o1,vel1,mu_l,action,shift_obstacle
98.5,29.86,0.63,1.0,0.0
97.01,29.55,0.63,1.0,0.0
95.54,29.24,0.63,1.0,0.0
94.09,28.94,0.63,1.0,0.0
92.65,28.63,0.63,1.0,0.0
91.23,28.32,0.63,1.0,0.0
89.82,28.01,0.63,1.0,0.0
88.43,27.7,0.63,1.0,0.0
87.05,27.39,0.63,1.0,0.0
85.69,27.08,0.63,1.0,0.0
84.34,26.77,0.63,1.0,0.0
83.01,26.47,0.63,1.0,0.0
81.69,26.16,0.63,1.0,0.0
80.39,25.85,0.63,1.0,0.0
79.11,25.54,0.63,1.0,0.0
77.84,25.23,0.63,1.0,0.0
76.59,24.92,0.63,1.0,0.0
75.35,24.61,0.63,1.0,0.0
74.12,24.31,0.63,1.0,0.0
72.92,24.0,0.63,1.0,0.0
71.72,23.69,0.63,1.0,0.0
70.55,23.38,0.63,1.0,0.0
69.39,23.07,0.63,1.0,0.0
68.24,22.76,0.63,1.0,0.0
67.11,22.45,0.63,1.0,0.0
66.0,22.14,0.63,1.0,0.0
64.9,21.84,0.63,1.0,0.0
63.81,21.53,0.63,1.0,0.0
62.74,21.22,0.63,1.0,0.0
61.69,20.91,0.63,1.0,0.0
60.65,20.6,0.63,1.0,0.0
59.63,20.29,0.63,1.0,0.0
58.62,19.98,0.63,1.0,0.0
57.63,19.67,0.63,1.0,0.0
56.66,19.37,0.63,1.0,0.0
55.7,19.06,0.63,1.0,0.0
54.75,18.75,0.63,1.0,0.0
53.82,18.44,0.63,1.0,0.0
52.91,18.13,0.63,1.0,0.0
52.01,17.82,0.63,1.0,0.0
51.12,17.51,0.63,1.0,0.0
50.26,17.2,0.63,1.0,0.0
49.4,16.9,0.63,1.0,0.0
48.57,16.59,0.63,1.0,0.0
47.74,16.28,0.63,1.0,0.0
46.94,15.97,0.63,1.0,0.0
46.15,15.66,0.63,1.0,0.0
45.37,15.35,0.63,1.0,0.0
44.61,15.04,0.63,1.0,0.0
43.87,14.74,0.63,1.0,0.0
43.14,14.43,0.63,1.0,0.0
42.43,14.12,0.63,1.0,0.0
41.73,13.81,0.63,1.0,0.0
41.04,13.5,0.63,1.0,0.0
40.38,13.19,0.63,1.0,0.0
39.72,12.88,0.63,1.0,0.0
39.09,12.57,0.63,1.0,0.0
38.47,12.27,0.63,1.0,0.0
37.86,11.96,0.63,0.99,0.0
37.27,11.65,0.63,0.99,0.0
36.7,11.34,0.63,0.99,0.0
36.14,11.03,0.63,0.98,0.0
35.59,10.72,0.63,0.97,0.0
35.07,10.41,0.63,0.95,0.0
34.55,10.1,0.63,0.93,0.0
34.06,9.8,0.63,0.89,0.0
33.57,9.49,0.63,0.84,0.0
33.11,9.05,0.9,0.78,0.0
32.67,8.67,0.76,0.44,0.0
32.24,8.32,0.72,0.4,0.0
31.83,8.02,0.6,0.31,0.0
31.44,7.74,0.58,0.29,0.0
31.06,7.51,0.47,0.22,0.0
30.69,7.28,0.47,0.23,0.0
30.33,7.1,0.37,0.17,0.0
29.98,6.91,0.39,0.18,0.0
29.64,6.76,0.31,0.14,0.0
29.3,6.59,0.35,0.16,0.0
28.98,6.46,0.26,0.12,0.0
28.66,6.3,0.33,0.15,0.0
28.35,6.19,0.22,0.1,0.0
28.04,6.04,0.3,0.14,0.0
27.74,5.94,0.2,0.09,0.0
27.45,5.81,0.28,0.13,0.0
27.16,5.72,0.18,0.08,0.0
26.88,5.6,0.25,0.11,0.0
26.6,5.51,0.17,0.08,0.0
26.33,5.41,0.22,0.1,0.0
26.06,5.32,0.17,0.08,0.0
25.79,5.23,0.19,0.09,0.0
25.53,5.15,0.16,0.07,0.0
25.28,5.06,0.18,0.08,0.0
25.03,4.99,0.16,0.07,0.0
24.78,4.91,0.16,0.07,0.0
24.54,4.83,0.15,0.07,0.0
24.3,4.76,0.15,0.07,0.0
24.06,4.69,0.14,0.06,0.0
23.83,4.62,0.14,0.06,0.0
23.6,4.56,0.14,0.06,0.0
23.37,4.49,0.13,0.06,0.0
23.15,4.43,0.13,0.06,0.0
22.93,4.37,0.13,0.06,0.0
22.71,4.31,0.12,0.05,0.0
22.5,4.25,0.12,0.05,0.0
22.29,4.19,0.12,0.05,0.0
22.08,4.13,0.11,0.05,0.0
21.87,4.08,0.11,0.05,0.0
21.67,4.02,0.11,0.05,0.0
21.47,3.97,0.11,0.05,0.0
21.27,3.92,0.11,0.05,0.0
21.08,3.87,0.1,0.05,0.0
20.89,3.82,0.1,0.05,0.0
20.7,3.77,0.1,0.04,0.0
20.51,3.72,0.1,0.04,0.0
20.32,3.67,0.1,0.04,0.0
20.14,3.63,0.09,0.04,0.0
19.96,3.58,0.09,0.04,0.0
19.78,3.54,0.09,0.04,0.0
19.61,3.49,0.09,0.04,0.0
19.43,3.45,0.09,0.04,0.0
19.26,3.41,0.09,0.04,0.0
19.09,3.37,0.09,0.04,0.0
18.93,3.32,0.08,0.04,0.0
18.76,3.28,0.08,0.04,0.0
18.6,3.24,0.08,0.04,0.0
18.44,3.2,0.08,0.04,0.0
18.28,3.16,0.08,0.04,0.0
18.12,3.12,0.08,0.04,0.0
17.97,3.09,0.08,0.03,0.0
17.81,3.05,0.08,0.03,0.0
17.66,3.01,0.08,0.03,0.0
17.51,2.98,0.07,0.03,0.0
17.36,2.94,0.07,0.03,0.0
17.22,2.9,0.07,0.03,0.0
17.07,2.87,0.07,0.03,0.0
16.93,2.83,0.07,0.03,0.0
16.79,2.8,0.07,0.03,0.0
16.65,2.77,0.07,0.03,0.0
16.51,2.73,0.07,0.03,0.0
16.38,2.7,0.07,0.03,0.0
16.24,2.67,0.07,0.03,0.0
16.11,2.63,0.07,0.03,0.0
15.98,2.6,0.06,0.03,0.0
15.85,2.57,0.06,0.03,0.0
15.72,2.54,0.06,0.03,0.0
15.6,2.51,0.06,0.03,0.0
15.47,2.48,0.06,0.03,0.0
15.35,2.45,0.06,0.03,0.0
15.23,2.42,0.06,0.03,0.0
15.11,2.39,0.06,0.03,0.0
14.99,2.36,0.06,0.03,0.0
14.87,2.33,0.06,0.03,0.0
14.75,2.3,0.06,0.03,0.0
14.64,2.28,0.06,0.03,0.0
14.53,2.25,0.06,0.03,0.0
