dist_o1,vel1,mu_l,action,shift_obstacle
14.41,2.22,0.06,0.02,0.0
14.3,2.19,0.06,0.02,0.0
14.19,2.17,0.05,0.02,0.0
14.09,2.14,0.05,0.02,0.0
13.98,2.11,0.05,0.02,0.0
13.88,2.09,0.05,0.02,0.0
13.77,2.06,0.05,0.02,0.0
13.67,2.04,0.05,0.02,0.0
13.57,2.01,0.05,0.02,0.0
13.47,1.99,0.05,0.02,0.0
13.37,1.96,0.05,0.02,0.0
13.27,1.94,0.05,0.02,0.0
13.18,1.91,0.05,0.02,0.0
13.08,1.89,0.05,0.02,0.0
12.99,1.87,0.05,0.02,0.0
12.89,1.84,0.05,0.02,0.0
12.8,1.82,0.05,0.02,0.0
12.71,1.8,0.05,0.02,0.0
12.62,1.77,0.05,0.02,0.0
12.53,1.75,0.05,0.02,0.0
12.45,1.73,0.05,0.02,0.0
12.36,1.71,0.05,0.02,0.0
12.28,1.68,0.04,0.02,0.0
12.19,1.66,0.04,0.02,0.0
12.11,1.64,0.04,0.02,0.0
12.03,1.62,0.04,0.02,0.0
11.95,1.6,0.04,0.02,0.0
11.87,1.58,0.04,0.02,0.0
11.79,1.56,0.04,0.02,0.0
11.71,1.54,0.04,0.02,0.0
11.64,1.52,0.04,0.02,0.0
11.56,1.5,0.04,0.02,0.0
11.49,1.48,0.04,0.02,0.0
11.41,1.46,0.04,0.02,0.0
11.34,1.44,0.04,0.02,0.0
11.27,1.42,0.04,0.02,0.0
11.2,1.4,0.04,0.02,0.0
11.13,1.38,0.04,0.02,0.0
11.06,1.36,0.04,0.02,0.0
10.99,1.34,0.04,0.02,0.0
10.93,1.33,0.04,0.02,0.0
10.86,1.31,0.04,0.02,0.0
10.8,1.29,0.04,0.02,0.0
10.73,1.27,0.04,0.02,0.0
10.67,1.25,0.04,0.02,0.0
10.61,1.24,0.04,0.02,0.0
10.55,1.22,0.04,0.02,0.0
10.49,1.2,0.04,0.02,0.0
10.43,1.18,0.03,0.02,0.0
10.37,1.17,0.03,0.02,0.0
10.31,1.15,0.03,0.02,0.0
10.25,1.13,0.03,0.01,0.0
10.2,1.12,0.03,0.01,0.0
10.14,1.1,0.03,0.01,0.0
10.09,1.09,0.03,0.01,0.0
10.03,1.07,0.03,0.01,0.0
9.98,1.05,0.03,0.01,0.0
9.93,1.04,0.03,0.01,0.0
9.87,1.02,0.03,0.01,0.0
9.82,1.01,0.03,0.01,0.0
9.77,0.99,0.03,0.01,0.0
9.72,0.98,0.03,0.01,0.0
9.68,0.96,0.03,0.01,0.0
9.63,0.95,0.03,0.01,0.0
9.58,0.93,0.03,0.01,0.0
9.53,0.92,0.03,0.01,0.0
9.49,0.9,0.03,0.01,0.0
9.44,0.89,0.03,0.01,0.0
9.4,0.88,0.03,0.01,0.0
9.36,0.86,0.03,0.01,0.0
9.31,0.85,0.03,0.01,0.0
9.27,0.83,0.03,0.01,0.0
9.23,0.82,0.03,0.01,0.0
9.19,0.81,0.03,0.01,0.0
9.15,0.79,0.03,0.01,0.0
9.11,0.78,0.03,0.01,0.0
9.07,0.77,0.03,0.01,0.0
9.03,0.75,0.03,0.01,0.0
9.0,0.74,0.03,0.01,0.0
8.96,0.73,0.03,0.01,0.0
8.92,0.72,0.03,0.01,0.0
8.89,0.7,0.03,0.01,0.0
8.85,0.69,0.03,0.01,0.0
8.82,0.68,0.03,0.01,0.0
8.78,0.67,0.02,0.01,0.0
8.75,0.66,0.02,0.01,0.0
8.72,0.64,0.02,0.01,0.0
8.69,0.63,0.02,0.01,0.0
8.66,0.62,0.02,0.01,0.0
8.63,0.61,0.02,0.01,0.0
8.6,0.6,0.02,0.01,0.0
8.57,0.59,0.02,0.01,0.0
8.54,0.57,0.02,0.01,0.0
8.51,0.56,0.02,0.01,0.0
8.48,0.55,0.02,0.01,0.0
8.45,0.54,0.02,0.01,0.0
8.43,0.53,0.02,0.01,0.0
8.4,0.52,0.02,0.01,0.0
8.37,0.51,0.02,0.01,0.0
8.35,0.5,0.02,0.01,0.0
8.32,0.49,0.02,0.01,0.0
8.3,0.48,0.02,0.01,0.0
8.28,0.47,0.02,0.01,0.0
8.25,0.46,0.02,0.01,0.0
8.23,0.45,0.02,0.01,0.0
8.21,0.44,0.02,0.01,0.0
8.19,0.43,0.02,0.01,0.0
8.17,0.42,0.02,0.01,0.0
8.15,0.41,0.02,0.01,0.0
8.13,0.4,0.02,0.01,0.0
8.11,0.39,0.02,0.01,0.0
8.09,0.38,0.02,0.01,0.0
8.07,0.37,0.02,0.01,0.0
8.05,0.36,0.02,0.01,0.0
8.03,0.35,0.02,0.01,0.0
8.02,0.34,0.02,0.01,0.0
8.0,0.33,0.02,0.01,0.0
7.98,0.32,0.02,0.01,0.0
7.97,0.31,0.02,0.01,0.0
7.95,0.3,0.02,0.01,0.0
7.94,0.3,0.02,0.01,0.0
7.92,0.29,0.02,0.01,0.0
7.91,0.28,0.02,0.01,0.0
7.89,0.27,0.02,0.01,0.0
7.88,0.26,0.02,0.01,0.0
7.87,0.25,0.02,0.01,0.0
7.86,0.24,0.02,0.01,0.0
7.84,0.24,0.02,0.01,0.0
7.83,0.23,0.02,0.01,0.0
7.82,0.22,0.02,0.01,0.0
7.81,0.21,0.02,0.01,0.0
7.8,0.2,0.02,0.01,0.0
7.79,0.2,0.02,0.01,0.0
7.78,0.19,0.02,0.01,0.0
7.77,0.18,0.02,0.01,0.0
7.76,0.17,0.02,0.01,0.0
7.75,0.17,0.02,0.01,0.0
7.74,0.16,0.02,0.01,0.0
7.74,0.15,0.02,0.01,0.0
7.73,0.14,0.02,0.01,0.0
7.72,0.14,0.01,0.01,0.0
7.72,0.13,0.01,0.01,0.0
7.71,0.12,0.01,0.01,0.0
7.7,0.11,0.01,0.01,0.0
7.7,0.11,0.01,0.01,0.0
7.69,0.1,0.01,0.01,0.0
7.69,0.09,0.01,0.01,0.0
7.68,0.09,0.01,0.01,0.0
7.68,0.08,0.01,0.01,0.0
7.68,0.07,0.01,0.01,0.0
7.67,0.07,0.01,0.01,0.0
7.67,0.06,0.01,0.01,0.0
7.67,0.05,0.01,0.01,0.0
7.66,0.05,0.01,0.01,0.0
7.66,0.04,0.01,0.01,0.0
7.66,0.03,0.01,0.01,0.0
7.66,0.03,0.01,0.01,0.0
7.66,0.02,0.01,0.01,0.0
7.66,0.02,0.01,0.01,0.0
7.66,0.01,0.01,0.01,0.0
7.66,0.0,0.01,0.01,0.0
7.66,-0.0,0.01,0.01,0.0
