dist_o1,vel1,mu_l,action,shift_obstacle
98.87,22.35,0.63,1.0,0.1
97.76,22.04,0.63,1.0,0.2
96.67,21.74,0.63,1.0,0.3
95.59,21.43,0.63,1.0,0.4
94.53,21.12,0.63,1.0,0.5
93.48,20.81,0.63,1.0,0.6
92.45,20.5,0.63,1.0,0.7
91.43,20.19,0.63,1.0,0.8
90.43,19.88,0.63,1.0,0.9
89.44,19.57,0.63,1.0,1.0
88.47,19.27,0.63,1.0,1.1
87.51,18.96,0.63,1.0,1.2
86.57,18.65,0.63,1.0,1.3
85.65,18.34,0.63,1.0,1.4
84.74,18.03,0.63,1.0,1.5
83.85,17.72,0.63,1.0,1.6
82.97,17.41,0.63,0.99,1.7
82.1,17.11,0.63,0.99,1.8
81.26,16.8,0.63,0.99,1.9
80.43,16.49,0.63,0.98,2.0
79.61,16.18,0.63,0.97,2.1
78.81,15.87,0.63,0.96,2.2
78.02,15.56,0.63,0.95,2.3
77.25,15.25,0.63,0.93,2.4
76.5,14.94,0.63,0.9,2.5
75.76,14.64,0.63,0.87,2.6
75.03,14.33,0.63,0.82,2.7
74.33,13.89,0.9,0.76,2.8
73.64,13.52,0.76,0.44,2.9
72.98,13.15,0.74,0.42,3.0
72.33,12.85,0.62,0.32,3.1
71.69,12.54,0.62,0.32,3.2
71.07,12.3,0.5,0.25,3.3
70.46,12.04,0.52,0.26,3.4
69.86,11.84,0.41,0.2,3.5
69.28,11.62,0.45,0.21,3.6
68.7,11.45,0.35,0.16,3.7
68.13,11.26,0.39,0.18,3.8
67.57,11.1,0.31,0.14,3.9
67.02,10.94,0.34,0.16,4.0
66.48,10.8,0.28,0.13,4.1
65.94,10.66,0.3,0.14,4.2
65.41,10.53,0.26,0.12,4.3
64.89,10.4,0.27,0.12,4.4
64.37,10.28,0.24,0.11,4.5
63.86,10.16,0.24,0.11,4.6
63.36,10.05,0.23,0.1,4.7
62.86,9.94,0.22,0.1,4.8
62.36,9.84,0.21,0.1,4.9
61.87,9.74,0.21,0.09,5.0
61.39,9.64,0.2,0.09,5.1
60.91,9.54,0.2,0.09,5.2
60.44,9.45,0.19,0.09,5.3
59.97,9.35,0.19,0.08,5.4
59.5,9.26,0.18,0.08,5.5
59.04,9.17,0.18,0.08,5.6
58.58,9.09,0.18,0.08,5.7
58.13,9.0,0.17,0.08,5.8
57.68,8.92,0.17,0.08,5.9
57.24,8.83,0.17,0.08,6.0
56.8,8.75,0.17,0.07,6.1
56.36,8.67,0.16,0.07,6.2
55.93,8.59,0.16,0.07,6.3
55.5,8.52,0.16,0.07,6.4
55.08,8.44,0.16,0.07,6.5
54.66,8.36,0.16,0.07,6.6
54.24,8.29,0.15,0.07,6.7
53.83,8.21,0.15,0.07,6.8
53.42,8.14,0.15,0.07,6.9
53.02,8.07,0.15,0.07,7.0
52.62,7.99,0.15,0.07,7.1
52.22,7.92,0.15,0.07,7.2
51.82,7.85,0.14,0.06,7.3
51.43,7.78,0.14,0.06,7.4
51.04,7.71,0.14,0.06,7.5
50.66,7.64,0.14,0.06,7.6
50.28,7.57,0.14,0.06,7.7
49.9,7.51,0.14,0.06,7.8
49.53,7.44,0.14,0.06,7.9
49.16,7.37,0.14,0.06,8.0
48.79,7.3,0.14,0.06,8.1
48.43,7.23,0.14,0.06,8.2
48.07,7.17,0.14,0.06,8.3
47.71,7.1,0.14,0.06,8.4
47.36,7.04,0.13,0.06,8.5
47.01,6.97,0.13,0.06,8.6
46.66,6.9,0.13,0.06,8.7
46.32,6.84,0.13,0.06,8.8
45.98,6.77,0.13,0.06,8.9
45.64,6.71,0.13,0.06,9.0
45.31,6.65,0.13,0.06,9.1
44.98,6.58,0.13,0.06,9.2
44.65,6.52,0.13,0.06,9.3
44.32,6.45,0.13,0.06,9.4
44.0,6.39,0.13,0.06,9.5
43.69,6.32,0.13,0.06,9.6
43.37,6.25,0.14,0.06,9.7
43.06,6.19,0.14,0.06,9.8
42.75,6.12,0.14,0.06,9.9
42.45,6.05,0.14,0.06,10.0
42.15,5.99,0.14,0.06,10.1
41.85,5.92,0.14,0.06,10.2
41.56,5.85,0.14,0.06,10.3
41.26,5.79,0.14,0.06,10.4
40.98,5.72,0.14,0.06,10.5
40.69,5.65,0.14,0.06,10.6
40.41,5.59,0.14,0.06,10.7
40.13,5.52,0.13,0.06,10.8
39.86,5.46,0.13,0.06,10.9
39.59,5.39,0.13,0.06,11.0
39.32,5.33,0.13,0.06,11.1
39.06,5.26,0.13,0.06,11.2
38.79,5.2,0.13,0.06,11.3
38.54,5.13,0.13,0.06,11.4
38.28,5.07,0.13,0.06,11.5
38.03,5.0,0.13,0.06,11.6
37.78,4.94,0.13,0.06,11.7
37.54,4.88,0.13,0.06,11.8
37.29,4.81,0.13,0.06,11.9
37.05,4.75,0.13,0.06,12.0
36.82,4.69,0.13,0.06,12.1
36.59,4.63,0.13,0.06,12.2
36.36,4.56,0.13,0.06,12.3
36.13,4.5,0.12,0.06,12.4
35.91,4.44,0.12,0.06,12.5
35.68,4.38,0.12,0.05,12.6
35.47,4.32,0.12,0.05,12.7
35.25,4.26,0.12,0.05,12.8
35.04,4.2,0.12,0.05,12.9
34.83,4.14,0.12,0.05,13.0
34.63,4.09,0.12,0.05,13.1
34.42,4.03,0.12,0.05,13.2
34.22,3.97,0.12,0.05,13.3
34.03,3.91,0.12,0.05,13.4
33.83,3.86,0.12,0.05,13.5
33.64,3.8,0.11,0.05,13.6
33.45,3.75,0.11,0.05,13.7
33.27,3.69,0.11,0.05,13.8
33.08,3.63,0.11,0.05,13.9
32.9,3.58,0.11,0.05,14.0
32.73,3.53,0.11,0.05,14.1
32.55,3.47,0.11,0.05,14.2
32.38,3.42,0.11,0.05,14.3
32.21,3.37,0.11,0.05,14.4
32.04,3.31,0.11,0.05,14.5
31.88,3.26,0.11,0.05,14.6
31.72,3.21,0.11,0.05,14.7
31.56,3.16,0.1,0.05,14.8
31.4,3.11,0.1,0.05,14.9
31.25,3.06,0.1,0.05,15.0
31.09,3.01,0.1,0.05,15.1
30.94,2.96,0.1,0.05,15.2
30.8,2.91,0.1,0.04,15.3
30.65,2.86,0.1,0.04,15.4
30.51,2.81,0.1,0.04,15.5
30.37,2.77,0.1,0.04,15.6
30.23,2.72,0.1,0.04,15.7
30.1,2.67,0.1,0.04,15.8
29.97,2.62,0.1,0.04,15.9
29.84,2.58,0.09,0.04,16.0
29.71,2.53,0.09,0.04,16.1
29.58,2.49,0.09,0.04,16.2
29.46,2.44,0.09,0.04,16.3
29.34,2.4,0.09,0.04,16.4
29.22,2.35,0.09,0.04,16.5
29.11,2.31,0.09,0.04,16.6
28.99,2.26,0.09,0.04,16.7
28.88,2.22,0.09,0.04,16.8
28.77,2.18,0.09,0.04,16.9
28.66,2.14,0.09,0.04,17.0
28.56,2.09,0.09,0.04,17.1
28.45,2.05,0.09,0.04,17.2
28.35,2.01,0.08,0.04,17.3
28.25,1.97,0.08,0.04,17.4
28.15,1.93,0.08,0.04,17.5
28.06,1.89,0.08,0.04,17.6
27.96,1.85,0.08,0.04,17.7
27.87,1.81,0.08,0.04,17.8
27.78,1.77,0.08,0.04,17.9
27.7,1.73,0.08,0.04,18.0
27.61,1.69,0.08,0.04,18.1
27.53,1.65,0.08,0.03,18.2
27.44,1.62,0.08,0.03,18.3
27.37,1.58,0.08,0.03,18.4
27.29,1.54,0.08,0.03,18.5
27.21,1.5,0.08,0.03,18.6
27.14,1.47,0.07,0.03,18.7
27.06,1.43,0.07,0.03,18.8
26.99,1.39,0.07,0.03,18.9
26.92,1.36,0.07,0.03,19.0
26.86,1.32,0.07,0.03,19.1
26.79,1.29,0.07,0.03,19.2
26.73,1.25,0.07,0.03,19.3
26.67,1.22,0.07,0.03,19.4
26.61,1.18,0.07,0.03,19.5
26.55,1.15,0.07,0.03,19.6
26.49,1.12,0.07,0.03,19.7
26.45,0.68,0.9,0.79,19.8
26.42,0.23,0.9,0.79,19.9
26.42,-0.21,0.9,0.79,20.0
