dist_o1,vel1,mu_l,action,shift_obstacle
98.56,28.58,0.63,1.0,0.1
97.14,28.27,0.63,1.0,0.2
95.74,27.96,0.63,1.0,0.3
94.35,27.65,0.63,1.0,0.4
92.97,27.35,0.63,1.0,0.5
91.61,27.04,0.63,1.0,0.6
90.27,26.73,0.63,1.0,0.7
88.94,26.42,0.63,1.0,0.8
87.63,26.11,0.63,1.0,0.9
86.33,25.8,0.63,1.0,1.0
85.04,25.49,0.63,1.0,1.1
83.78,25.18,0.63,1.0,1.2
82.53,24.88,0.63,1.0,1.3
81.29,24.57,0.63,1.0,1.4
80.07,24.26,0.63,1.0,1.5
78.86,23.95,0.63,1.0,1.6
77.67,23.64,0.63,1.0,1.7
76.5,23.33,0.63,1.0,1.8
75.34,23.02,0.63,1.0,1.9
74.2,22.71,0.63,1.0,2.0
73.07,22.41,0.63,1.0,2.1
71.96,22.1,0.63,1.0,2.2
70.86,21.79,0.63,1.0,2.3
69.78,21.48,0.63,1.0,2.4
68.71,21.17,0.63,1.0,2.5
67.66,20.86,0.63,1.0,2.6
66.63,20.55,0.63,1.0,2.7
65.61,20.25,0.63,1.0,2.8
64.6,19.94,0.63,1.0,2.9
63.61,19.63,0.63,1.0,3.0
62.64,19.32,0.63,1.0,3.1
61.68,19.01,0.63,1.0,3.2
60.74,18.7,0.63,1.0,3.3
59.81,18.39,0.63,1.0,3.4
58.9,18.08,0.63,1.0,3.5
58.0,17.78,0.63,1.0,3.6
57.12,17.47,0.63,1.0,3.7
56.26,17.16,0.63,1.0,3.8
55.4,16.85,0.63,1.0,3.9
54.57,16.54,0.63,1.0,4.0
53.75,16.23,0.63,1.0,4.1
52.95,15.92,0.63,1.0,4.2
52.16,15.61,0.63,1.0,4.3
51.39,15.31,0.63,1.0,4.4
50.63,15.0,0.63,1.0,4.5
49.89,14.69,0.63,1.0,4.6
49.16,14.38,0.63,1.0,4.7
48.45,14.07,0.63,1.0,4.8
47.75,13.76,0.63,1.0,4.9
47.07,13.45,0.63,1.0,5.0
46.41,13.15,0.63,1.0,5.1
45.76,12.84,0.63,1.0,5.2
45.12,12.53,0.63,1.0,5.3
44.5,12.22,0.63,0.99,5.4
43.9,11.91,0.63,0.99,5.5
43.31,11.6,0.63,0.99,5.6
42.74,11.29,0.63,0.98,5.7
42.18,10.98,0.63,0.98,5.8
41.64,10.68,0.63,0.96,5.9
41.12,10.37,0.63,0.95,6.0
