dist_o1,vel1,mu_l,action,shift_obstacle
39.23,14.75,0.63,1.0,0.0
38.5,14.44,0.63,1.0,0.0
37.79,14.13,0.63,1.0,0.0
37.09,13.82,0.63,1.0,0.0
36.41,13.52,0.63,1.0,0.0
35.74,13.21,0.63,1.0,0.0
35.09,12.9,0.63,1.0,0.0
34.45,12.59,0.63,1.0,0.0
33.83,12.28,0.63,1.0,0.0
33.22,11.97,0.63,1.0,0.0
32.63,11.66,0.63,1.0,0.0
32.06,11.35,0.63,1.0,0.0
31.5,11.05,0.63,0.99,0.0
30.95,10.74,0.63,0.99,0.0
30.42,10.43,0.63,0.98,0.0
29.91,10.12,0.63,0.97,0.0
29.41,9.81,0.63,0.96,0.0
28.93,9.5,0.63,0.94,0.0
28.46,9.19,0.63,0.91,0.0
28.01,8.88,0.63,0.87,0.0
27.57,8.58,0.63,0.81,0.0
27.15,8.14,0.9,0.73,0.0
26.75,7.8,0.69,0.38,0.0
26.37,7.45,0.72,0.4,0.0
26.01,7.18,0.53,0.26,0.0
25.66,6.9,0.58,0.29,0.0
25.32,6.7,0.41,0.19,0.0
24.99,6.44,0.53,0.26,0.0
24.67,6.29,0.31,0.14,0.0
24.36,6.03,0.52,0.25,0.0
24.06,5.93,0.21,0.09,0.0
23.77,5.67,0.53,0.26,0.0
23.49,5.6,0.14,0.06,0.0
23.22,5.35,0.51,0.25,0.0
22.95,5.3,0.1,0.05,0.0
22.69,5.08,0.46,0.22,0.0
22.44,5.03,0.1,0.04,0.0
22.19,4.85,0.38,0.18,0.0
21.95,4.8,0.11,0.05,0.0
21.71,4.65,0.3,0.14,0.0
21.48,4.59,0.12,0.05,0.0
21.26,4.47,0.24,0.11,0.0
21.03,4.4,0.13,0.06,0.0
20.82,4.31,0.2,0.09,0.0
20.6,4.24,0.14,0.06,0.0
20.39,4.16,0.17,0.08,0.0
20.19,4.09,0.14,0.06,0.0
19.98,4.01,0.15,0.07,0.0
19.79,3.95,0.14,0.06,0.0
19.59,3.88,0.14,0.06,0.0
19.4,3.81,0.13,0.06,0.0
19.21,3.75,0.13,0.06,0.0
19.02,3.69,0.12,0.06,0.0
18.84,3.63,0.12,0.05,0.0
18.66,3.58,0.12,0.05,0.0
18.48,3.52,0.11,0.05,0.0
18.31,3.47,0.11,0.05,0.0
18.14,3.41,0.11,0.05,0.0
17.97,3.36,0.11,0.05,0.0
17.8,3.31,0.1,0.05,0.0
17.63,3.26,0.1,0.04,0.0
17.47,3.21,0.1,0.04,0.0
17.31,3.17,0.1,0.04,0.0
17.16,3.12,0.09,0.04,0.0
17.0,3.07,0.09,0.04,0.0
16.85,3.03,0.09,0.04,0.0
16.7,2.99,0.09,0.04,0.0
16.55,2.94,0.09,0.04,0.0
16.4,2.9,0.09,0.04,0.0
16.26,2.86,0.08,0.04,0.0
16.12,2.82,0.08,0.04,0.0
15.98,2.78,0.08,0.04,0.0
15.84,2.74,0.08,0.04,0.0
15.7,2.71,0.08,0.03,0.0
15.57,2.67,0.08,0.03,0.0
15.44,2.63,0.07,0.03,0.0
15.31,2.6,0.07,0.03,0.0
15.18,2.56,0.07,0.03,0.0
15.05,2.53,0.07,0.03,0.0
14.92,2.49,0.07,0.03,0.0
14.8,2.46,0.07,0.03,0.0
14.68,2.42,0.07,0.03,0.0
14.56,2.39,0.07,0.03,0.0
14.44,2.36,0.07,0.03,0.0
14.32,2.33,0.07,0.03,0.0
14.21,2.29,0.06,0.03,0.0
14.09,2.26,0.06,0.03,0.0
13.98,2.23,0.06,0.03,0.0
13.87,2.2,0.06,0.03,0.0
13.76,2.17,0.06,0.03,0.0
13.65,2.14,0.06,0.03,0.0
13.55,2.12,0.06,0.03,0.0
13.44,2.09,0.06,0.03,0.0
13.34,2.06,0.06,0.03,0.0
13.23,2.03,0.06,0.03,0.0
13.13,2.0,0.06,0.02,0.0
13.03,1.98,0.06,0.02,0.0
12.94,1.95,0.05,0.02,0.0
12.84,1.92,0.05,0.02,0.0
12.74,1.9,0.05,0.02,0.0
12.65,1.87,0.05,0.02,0.0
12.56,1.85,0.05,0.02,0.0
12.46,1.82,0.05,0.02,0.0
12.37,1.8,0.05,0.02,0.0
12.29,1.77,0.05,0.02,0.0
12.2,1.75,0.05,0.02,0.0
12.11,1.72,0.05,0.02,0.0
12.02,1.7,0.05,0.02,0.0
11.94,1.68,0.05,0.02,0.0
11.86,1.65,0.05,0.02,0.0
11.78,1.63,0.05,0.02,0.0
11.69,1.61,0.05,0.02,0.0
11.61,1.59,0.05,0.02,0.0
11.54,1.56,0.04,0.02,0.0
11.46,1.54,0.04,0.02,0.0
11.38,1.52,0.04,0.02,0.0
11.31,1.5,0.04,0.02,0.0
11.23,1.48,0.04,0.02,0.0
11.16,1.46,0.04,0.02,0.0
11.09,1.44,0.04,0.02,0.0
11.01,1.42,0.04,0.02,0.0
10.94,1.4,0.04,0.02,0.0
10.87,1.38,0.04,0.02,0.0
10.81,1.36,0.04,0.02,0.0
10.74,1.34,0.04,0.02,0.0
10.67,1.32,0.04,0.02,0.0
10.61,1.3,0.04,0.02,0.0
10.54,1.28,0.04,0.02,0.0
10.48,1.26,0.04,0.02,0.0
10.42,1.24,0.04,0.02,0.0
10.35,1.23,0.04,0.02,0.0
10.29,1.21,0.04,0.02,0.0
10.23,1.19,0.04,0.02,0.0
10.17,1.17,0.04,0.02,0.0
10.12,1.15,0.04,0.02,0.0
10.06,1.14,0.04,0.02,0.0
10.0,1.12,0.03,0.02,0.0
9.95,1.1,0.03,0.02,0.0
9.89,1.09,0.03,0.02,0.0
9.84,1.07,0.03,0.02,0.0
9.79,1.05,0.03,0.01,0.0
9.73,1.04,0.03,0.01,0.0
9.68,1.02,0.03,0.01,0.0
9.63,1.0,0.03,0.01,0.0
9.58,0.99,0.03,0.01,0.0
9.53,0.97,0.03,0.01,0.0
9.48,0.96,0.03,0.01,0.0
9.44,0.94,0.03,0.01,0.0
9.39,0.93,0.03,0.01,0.0
9.34,0.91,0.03,0.01,0.0
9.3,0.9,0.03,0.01,0.0
9.25,0.88,0.03,0.01,0.0
9.21,0.87,0.03,0.01,0.0
9.17,0.85,0.03,0.01,0.0
9.12,0.84,0.03,0.01,0.0
9.08,0.83,0.03,0.01,0.0
9.04,0.81,0.03,0.01,0.0
9.0,0.8,0.03,0.01,0.0
8.96,0.78,0.03,0.01,0.0
8.92,0.77,0.03,0.01,0.0
8.89,0.76,0.03,0.01,0.0
8.85,0.74,0.03,0.01,0.0
8.81,0.73,0.03,0.01,0.0
8.77,0.72,0.03,0.01,0.0
8.74,0.7,0.03,0.01,0.0
8.7,0.69,0.03,0.01,0.0
8.67,0.68,0.03,0.01,0.0
8.64,0.67,0.03,0.01,0.0
8.6,0.65,0.03,0.01,0.0
8.57,0.64,0.03,0.01,0.0
8.54,0.63,0.02,0.01,0.0
8.51,0.62,0.02,0.01,0.0
8.48,0.6,0.02,0.01,0.0
8.45,0.59,0.02,0.01,0.0
8.42,0.58,0.02,0.01,0.0
8.39,0.57,0.02,0.01,0.0
8.36,0.56,0.02,0.01,0.0
8.33,0.55,0.02,0.01,0.0
8.31,0.54,0.02,0.01,0.0
8.28,0.52,0.02,0.01,0.0
8.25,0.51,0.02,0.01,0.0
8.23,0.5,0.02,0.01,0.0
8.2,0.49,0.02,0.01,0.0
8.18,0.48,0.02,0.01,0.0
8.16,0.47,0.02,0.01,0.0
8.13,0.46,0.02,0.01,0.0
8.11,0.45,0.02,0.01,0.0
8.09,0.44,0.02,0.01,0.0
8.07,0.43,0.02,0.01,0.0
8.05,0.42,0.02,0.01,0.0
8.02,0.41,0.02,0.01,0.0
8.0,0.4,0.02,0.01,0.0
7.98,0.39,0.02,0.01,0.0
7.97,0.38,0.02,0.01,0.0
7.95,0.37,0.02,0.01,0.0
7.93,0.36,0.02,0.01,0.0
7.91,0.35,0.02,0.01,0.0
7.89,0.34,0.02,0.01,0.0
7.88,0.33,0.02,0.01,0.0
7.86,0.32,0.02,0.01,0.0
7.85,0.31,0.02,0.01,0.0
7.83,0.3,0.02,0.01,0.0
7.81,0.29,0.02,0.01,0.0
7.8,0.28,0.02,0.01,0.0
7.79,0.28,0.02,0.01,0.0
7.77,0.27,0.02,0.01,0.0
7.76,0.26,0.02,0.01,0.0
7.75,0.25,0.02,0.01,0.0
7.73,0.24,0.02,0.01,0.0
7.72,0.23,0.02,0.01,0.0
7.71,0.22,0.02,0.01,0.0
7.7,0.22,0.02,0.01,0.0
7.69,0.21,0.02,0.01,0.0
7.68,0.2,0.02,0.01,0.0
7.67,0.19,0.02,0.01,0.0
7.66,0.18,0.02,0.01,0.0
7.65,0.18,0.02,0.01,0.0
7.64,0.17,0.02,0.01,0.0
7.63,0.16,0.02,0.01,0.0
7.63,0.15,0.02,0.01,0.0
7.62,0.15,0.02,0.01,0.0
7.61,0.14,0.02,0.01,0.0
7.61,0.13,0.02,0.01,0.0
7.6,0.12,0.02,0.01,0.0
7.59,0.12,0.01,0.01,0.0
7.59,0.11,0.01,0.01,0.0
7.58,0.1,0.01,0.01,0.0
7.58,0.09,0.01,0.01,0.0
7.57,0.09,0.01,0.01,0.0
7.57,0.08,0.01,0.01,0.0
7.56,0.07,0.01,0.01,0.0
7.56,0.07,0.01,0.01,0.0
7.56,0.06,0.01,0.01,0.0
7.56,0.05,0.01,0.01,0.0
7.55,0.05,0.01,0.01,0.0
7.55,0.04,0.01,0.01,0.0
7.55,0.03,0.01,0.01,0.0
7.55,0.03,0.01,0.01,0.0
7.55,0.02,0.01,0.01,0.0
7.55,0.01,0.01,0.01,0.0
7.54,0.01,0.01,0.01,0.0
7.54,0.0,0.01,0.01,0.0
7.54,-0.01,0.01,0.01,0.0
