dist_o1,vel1,mu_l,action,shift_obstacle
98.45,30.8,0.63,1.0,0.0
96.92,30.49,0.63,1.0,0.0
95.4,30.19,0.63,1.0,0.0
93.9,29.88,0.63,1.0,0.0
92.42,29.57,0.63,1.0,0.0
90.94,29.26,0.63,1.0,0.0
89.49,28.95,0.63,1.0,0.0
88.05,28.64,0.63,1.0,0.0
86.63,28.33,0.63,1.0,0.0
85.22,28.02,0.63,1.0,0.0
83.82,27.72,0.63,1.0,0.0
82.44,27.41,0.63,1.0,0.0
81.08,27.1,0.63,1.0,0.0
79.73,26.79,0.63,1.0,0.0
78.4,26.48,0.63,1.0,0.0
77.09,26.17,0.63,1.0,0.0
75.79,25.86,0.63,1.0,0.0
74.5,25.55,0.63,1.0,0.0
73.23,25.25,0.63,1.0,0.0
71.98,24.94,0.63,1.0,0.0
70.74,24.63,0.63,1.0,0.0
69.51,24.32,0.63,1.0,0.0
68.3,24.01,0.63,1.0,0.0
67.11,23.7,0.63,1.0,0.0
65.93,23.39,0.63,1.0,0.0
64.77,23.08,0.63,1.0,0.0
63.63,22.78,0.63,1.0,0.0
62.49,22.47,0.63,1.0,0.0
61.38,22.16,0.63,1.0,0.0
60.28,21.85,0.63,1.0,0.0
59.19,21.54,0.63,1.0,0.0
58.12,21.23,0.63,1.0,0.0
57.07,20.92,0.63,1.0,0.0
56.03,20.62,0.63,1.0,0.0
55.01,20.31,0.63,1.0,0.0
54.0,20.0,0.63,1.0,0.0
53.01,19.69,0.63,1.0,0.0
52.03,19.38,0.63,1.0,0.0
51.07,19.07,0.63,1.0,0.0
50.13,18.76,0.63,1.0,0.0
49.2,18.45,0.63,1.0,0.0
48.28,18.15,0.63,1.0,0.0
47.38,17.84,0.63,1.0,0.0
46.5,17.53,0.63,1.0,0.0
45.63,17.22,0.63,1.0,0.0
44.77,16.91,0.63,1.0,0.0
43.94,16.6,0.63,1.0,0.0
43.11,16.29,0.63,1.0,0.0
42.31,15.98,0.63,1.0,0.0
41.52,15.68,0.63,1.0,0.0
40.74,15.37,0.63,1.0,0.0
39.98,15.06,0.63,1.0,0.0
